Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(B)     double  x64     00003   00091   0,0005  0,6833
Java_ver(B)     double  x64     00004   00091   0,0005  0,7238
Java_ver(C)     double  x64     00000   00091   0,0030  4,0197
Java_ver(C)     double  x64     00001   00091   0,0014  1,9064
Java_ver(C)     double  x64     00002   00091   0,0015  1,9577
Java_ver(C)     double  x64     00003   00091   0,0016  2,0847
Java_ver(C)     double  x64     00004   00091   0,0020  2,6827
Java_ver(D)     double  x64     00000   00091   0,0025  3,3600
Java_ver(D)     double  x64     00001   00091   0,0013  1,6791
Java_ver(D)     double  x64     00002   00091   0,0015  1,9368
Java_ver(D)     double  x64     00003   00091   0,0016  2,0790
Java_ver(D)     double  x64     00004   00091   0,0004  0,4938
Java_ver(E)     double  x64     00000   00091   0,0026  3,4505
Java_ver(E)     double  x64     00001   00091   0,0013  1,6937
Java_ver(E)     double  x64     00002   00091   0,0013  1,7125
Java_ver(E)     double  x64     00003   00091   0,0021  2,8285
Java_ver(E)     double  x64     00004   00091   0,0023  3,0624
Java_ver(F)     double  x64     00000   00091   0,0037  4,9320
Java_ver(F)     double  x64     00001   00091   0,0013  1,7385
Java_ver(F)     double  x64     00002   00091   0,0008  1,0903
Java_ver(F)     double  x64     00003   00091   0,0004  0,5834
Java_ver(F)     double  x64     00004   00091   0,0004  0,5814

Testing matrix size: 128
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00128   0,0054  2,5624
Java_ver(A)     double  x64     00001   00128   0,0026  1,2174
Java_ver(A)     double  x64     00002   00128   0,0025  1,1785
Java_ver(A)     double  x64     00003   00128   0,0022  1,0445
Java_ver(A)     double  x64     00004   00128   0,0026  1,2161
Java_ver(B)     double  x64     00000   00128   0,0073  3,4976
Java_ver(B)     double  x64     00001   00128   0,0022  1,0302
Java_ver(B)     double  x64     00002   00128   0,0023  1,0816
Java_ver(B)     double  x64     00003   00128   0,0021  1,0092
Java_ver(B)     double  x64     00004   00128   0,0022  1,0294
Java_ver(C)     double  x64     00000   00128   0,0060  2,8439
Java_ver(C)     double  x64     00001   00128   0,0015  0,6940
Java_ver(C)     double  x64     00002   00128   0,0015  0,6942
Java_ver(C)     double  x64     00003   00128   0,0012  0,5807
Java_ver(C)     double  x64     00004   00128   0,0008  0,3757
Java_ver(D)     double  x64     00000   00128   0,0063  2,9939
Java_ver(D)     double  x64     00001   00128   0,0009  0,4342
Java_ver(D)     double  x64     00002   00128   0,0013  0,6072
Java_ver(D)     double  x64     00003   00128   0,0008  0,3946
Java_ver(D)     double  x64     00004   00128   0,0006  0,2965
Java_ver(E)     double  x64     00000   00128   0,0062  2,9608
Java_ver(E)     double  x64     00001   00128   0,0039  1,8530
Java_ver(E)     double  x64     00002   00128   0,0034  1,6039
Java_ver(E)     double  x64     00003   00128   0,0039  1,8436
Java_ver(E)     double  x64     00004   00128   0,0039  1,8712
Java_ver(F)     double  x64     00000   00128   0,0053  2,5360
Java_ver(F)     double  x64     00001   00128   0,0042  1,9971
Java_ver(F)     double  x64     00002   00128   0,0040  1,8985
Java_ver(F)     double  x64     00003   00128   0,0047  2,2335
Java_ver(F)     double  x64     00004   00128   0,0038  1,7925

Testing matrix size: 157
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00157   0,0062  1,6013
Java_ver(A)     double  x64     00001   00157   0,0024  0,6325
Java_ver(A)     double  x64     00002   00157   0,0025  0,6331
Java_ver(A)     double  x64     00003   00157   0,0026  0,6589
Java_ver(A)     double  x64     00004   00157   0,0024  0,6224
Java_ver(B)     double  x64     00000   00157   0,0066  1,6996
Java_ver(B)     double  x64     00001   00157   0,0031  0,8074
Java_ver(B)     double  x64     00002   00157   0,0027  0,6860
Java_ver(B)     double  x64     00003   00157   0,0031  0,8014
Java_ver(B)     double  x64     00004   00157   0,0030  0,7732
Java_ver(C)     double  x64     00000   00157   0,0065  1,6811
Java_ver(C)     double  x64     00001   00157   0,0014  0,3641
Java_ver(C)     double  x64     00002   00157   0,0014  0,3546
Java_ver(C)     double  x64     00003   00157   0,0015  0,3952
